File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./lpo.v;StructuredUnification;1;1;58;7;apply;Lub_definition;1948;ssrunder.Under_rel.under_rel_done;ssrunder.Under_rel.over_rel_done;ssrunder.Under_rel.Over_rel;ssrunder.Under_rel.Under_rel;Hurkens.TypeNeqSmallType.paradox;PeanoNat.Nat.Private_OrderTac.Tac.interp_ord;PeanoNat.Nat.Private_Tac.interp_ord;PeanoNat.Nat.Private_Parity.Even_0;PeanoNat.Nat.Private_NLcmProp.lcm;Hurkens.NoRetractToNegativeProp.El
./lpo.v;StructuredUnification;1;1;58;8;apply;Lub_definition;13;Lt;Lub_sind;Lub_rec;Lub_ind;Lub_rect;Lub;Lower_Bound_sind;Lower_Bound_rec;Lower_Bound_ind;Lower_Bound_rect
./lpo.v;StructuredUnification;1;1;58;9;apply;Lub_definition;5;Lub_sind;Lub_rec;Lub_ind;Lub_rect;Lub;Lub_definition;Lub_is_in_Carrier;Union_is_Lub;Lower_Bound_sind;Lower_Bound_rec
./lpo.v;StructuredUnification;1;1;58;10;apply;Lub_definition;5;Lub;Lub_sind;Lub_rec;Lub_ind;Lub_rect;Lub_definition;Lub_is_in_Carrier;Union_is_Lub;PeanoNat.Nat.max_lub_r;PeanoNat.Nat.max_lub_l
./lpo.v;StructuredUnification;1;1;58;11;apply;Lub_definition;4;Lub_sind;Lub_rec;Lub_ind;Lub_rect;Lub_definition;Lub_is_in_Carrier;PeanoNat.Nat.max_lub_r;PeanoNat.Nat.max_lub_l;PeanoNat.Nat.max_lub_lt;PeanoNat.Nat.max_lub_lt_iff
./lpo.v;StructuredUnification;1;1;58;12;apply;Lub_definition;0;Lub_definition;Lub_ind;Lub_sind;PeanoNat.Nat.lt_sub_lt_add_l;PeanoNat.Nat.lt_sub_lt_add_r;PeanoNat.Nat.le_sub_le_add_l;PeanoNat.Nat.le_sub_le_add_r;Wf_nat.lt_wf_double_ind;;
./lpo.v;StructuredUnification;1;1;58;13;apply;Lub_definition;0;Lub_definition;;;;;;;;;
./lpo.v;StructuredUnification;1;1;58;14;apply;Lub_definition;0;Lub_definition;;;;;;;;;
./lpo.v;StructuredUnification;1;1;58;15;apply;Lub_definition;0;Lub_definition;;;;;;;;;
./lpo.v;StructuredUnification;1;1;58;16;apply;Lub_definition;0;Lub_definition;;;;;;;;;
