File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./IZF_nat.v;StructuredTypeEvaluation;10;10;113;20;apply;Hn;-1;pred_SO;pred_SSn;pred_O;eq_inr_inr;eq_inl_inl;eq_some_some;eq_trans;eq_sym;eq_refl;Acc_inv
./IZF_nat.v;StructuredTypeEvaluation;10;10;113;21;apply;Hn;-1;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int;Hexadecimal.app;Hexadecimal.rev
./IZF_nat.v;StructuredTypeEvaluation;10;10;113;22;apply;Hn;-1;Hexadecimal.norm;Hexadecimal.nzhead;Hexadecimal.nb_digits;Hexadecimal.Neg;Hexadecimal.Nil;Hexadecimal.unorm;Hexadecimal.uint_beq;Hexadecimal.uint;Hexadecimal.signed_int_beq;Hexadecimal.signed_int
./IZF_nat.v;StructuredTypeEvaluation;10;10;115;7;apply;pred_O;1;pred_SO;pred_O;pred_SSn;eq_inr_inr;eq_inl_inl;eq_some_some;eq_trans;eq_sym;eq_refl;Acc_inv
./IZF_nat.v;StructuredTypeEvaluation;10;10;115;8;apply;pred_O;1;pred_SO;pred_O;pred_SSn;projT3;proj3_sig;projT2;proj2_sig;pair_equal_spec;prod_sigT_prod;proj1_sig_eq
./IZF_nat.v;StructuredTypeEvaluation;10;10;115;9;apply;pred_O;1;pred_SO;pred_O;pred_SSn;projT3;proj3_sig;projT2;proj2_sig;prod_sigT_prod;proj1_sig_eq;projT1_eq
./IZF_nat.v;StructuredTypeEvaluation;10;10;115;10;apply;pred_O;1;pred_SO;pred_O;pred_SSn;pred;projT1_eq;proj1_sig_eq;pair_equal_spec;Nat.pred;ex_proj1_eq;prod_curry_subdef
./IZF_nat.v;StructuredTypeEvaluation;10;10;115;11;apply;pred_O;2;pred;pred_SO;pred_O;pred_SSn;Nat.pred;prod_curry_subdef;prod_uncurry_subdef;;;
./IZF_nat.v;StructuredTypeEvaluation;10;10;115;12;apply;pred_O;1;pred_SO;pred_O;pred_SSn;;;;;;;
./IZF_nat.v;StructuredTypeEvaluation;10;10;115;13;apply;pred_O;0;pred_O;pred_SO;;;;;;;;
./IZF_nat.v;StructuredTypeEvaluation;10;10;118;7;apply;H;0;H;Fix;Fix_F;well_founded_ind;well_founded_induction;well_founded_induction_type;Acc_sind;Acc_rec;Acc_ind;Acc_rect
./IZF_nat.v;StructuredTypeEvaluation;10;10;118;8;apply;H;0;H;Hexadecimal.Little.succ_double;Hexadecimal.Little.double;Hexadecimal.Little.succ;Hexadecimal.del_tail_int;Hexadecimal.del_tail;Hexadecimal.del_head_int;Hexadecimal.del_head;Hexadecimal.app_int;Hexadecimal.app
