File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./Fil.v;Shuffle;;;34;21;apply;h;-1;Bool.eqb_eq;PeanoNat.Nat.add_nocarry_lxor;OrdersTac.trans_ord;well_founded_induction_type;Bool.eqb_refl;except;eq_ex_rect_ex_intro_r;PeanoNat.Nat.Private_NDivProp.Private_NZDiv.mod_mul_r;RelationClasses.Build_StrictOrder;CRelationClasses.PartialOrder
./Fil.v;Shuffle;;;34;22;apply;h;-1;Hexadecimal.Hexadecimal;Hurkens.Generic.Omega;H'5;Hexadecimal.Dc;Hurkens.NoRetractFromSmallPropositionToProp.mparadox;Hurkens.Generic.paradox;Hexadecimal.norm;Hexadecimal.signed_int_beq;Hurkens.NoRetractToNegativeProp.El;Hexadecimal.nzhead
./Fil.v;Shuffle;;;35;25;apply;H'6;-1;sum_sind;ClassicalFacts.falseP;PeanoNat.Nat.add_pos_pos;Byte.x66;PeanoNat.Nat.Private_NZSqrt.sqrt_pred_square;PeanoNat.Nat.div_small_iff;Byte.x5a;ClassicalFacts.TrueP;Nat.eqb;Nat.to_int
./Fil.v;Shuffle;;;35;26;apply;H'6;-1;Hexadecimal.D6;Hexadecimal.D0;Hexadecimal.hexadecimal_beq;Hexadecimal.D3;H'3;Hexadecimal.revapp;Hexadecimal.nztail;Hexadecimal.internal_uint_dec_lb0;Hexadecimal.signed_int;Hexadecimal.Little.succ_double
./Fil.v;Shuffle;;;35;27;apply;H'6;-1;H'3;;;;;;;;;
./Fil.v;Shuffle;;;35;28;apply;H'6;-1;;;;;;;;;;
./Fil.v;Shuffle;;;36;28;apply;H'7;-1;Compare_dec.le_ge_dec;PeanoNat.Nat.min_le;PeanoNat.Nat.lnot_lor_low;RelationClasses.Asymmetric;Byte.x4a;Order_rec;EqdepFacts.eq_dep1_ind;CMorphisms.reflexive_eq_dom_reflexive;PeanoNat.Nat.max_le_compat_l;PeanoNat.Nat.lxor_spec
./Fil.v;Shuffle;;;36;29;apply;H'7;-1;Hexadecimal.internal_signed_int_dec_lb0;Hexadecimal.app;Hurkens.NoRetractFromSmallPropositionToProp.mparadox;Hexadecimal.Nil;Hexadecimal.opp;Hexadecimal.D4;Hurkens.Generic.le;Hexadecimal.D3;H'2;Hurkens.NoRetractToModalProposition.El
./Fil.v;Shuffle;;;36;30;apply;H'7;-1;H'2;;;;;;;;;
./Fil.v;Shuffle;;;36;31;apply;H'7;-1;;;;;;;;;;
./Fil.v;Shuffle;;;37;31;apply;H'8;-1;Relation_Operators.slexprod_ind;CMorphisms.proper_proper_proxy;PeanoNat.Nat.mul_pow2_bits_high;Byte.x57;Morphisms.trans_sym_co_inv_impl_morphism_obligation_1;CMorphisms.proper_normalizes_proper;PeanoNat.Nat.lt_gt_cases;snd;eq_ex_intro2_hprop;PeanoNat.Nat.measure_left_induction
./Fil.v;Shuffle;;;37;32;apply;H'8;-1;Hexadecimal.del_tail_int;Hexadecimal.uint_eq_dec;Hexadecimal.uint;Hexadecimal.signed_int_beq;Hexadecimal.D7;Hurkens.NoRetractToNegativeProp.NProp;Hurkens.NoRetractToModalProposition.MProp;Hexadecimal.D8;Hexadecimal.norm;Hexadecimal.D9
./Fil.v;Shuffle;;;37;33;apply;H'8;-1;H'5;;;;;;;;;
./Fil.v;Shuffle;;;37;34;apply;H'8;-1;;;;;;;;;;
./Fil.v;Shuffle;;;43;11;apply;H'3;-1;PeanoNat.Nat.ldiff_ldiff_l;Morphisms_Prop.ex_flip_impl_morphism;PeanoNat.Nat.gcd_bezout;Bool.absorption_andb;RelationClasses.eq_equivalence;Byte.x1d;Decimal.D8;sig_ind;Relation_Operators.right_lex;exists_to_inhabited_sig
./Fil.v;Shuffle;;;43;12;apply;H'3;-1;Hexadecimal.De;Hexadecimal.rev;Hurkens.Generic.lemma1;Hexadecimal.D1;Hexadecimal.internal_hexadecimal_dec_lb;Hurkens.Generic.I;Hexadecimal.nzhead;Hexadecimal.del_head_int;Hexadecimal.Db;Hexadecimal.uint_rec
./Fil.v;Shuffle;;;43;13;apply;H'3;-1;;;;;;;;;;
./Fil.v;Shuffle;;;43;14;apply;H'3;-1;;;;;;;;;;
./Fil.v;Shuffle;;;44;25;apply;H'6;-1;ClassicalFacts.has_fixpoint;PeanoNat.Nat.max_min_modular;RelationClasses.predicate_union;Hurkens.Generic.lemma1;ClassicalFacts.prop_degeneracy;PeanoNat.Nat.gcd_bezout;PeanoNat.Nat.Private_NDivProp.div_le_lower_bound;Setminus_intro;CompOpp_involutive;RelationClasses.flip_Asymmetric
./Fil.v;Shuffle;;;44;26;apply;H'6;-1;Hurkens.Generic.lemma1;Hexadecimal.D0;Hurkens.NoRetractFromSmallPropositionToProp.El;Hexadecimal.Nil;Hexadecimal.Db;Hurkens.NoRetractToNegativeProp.paradox;Hexadecimal.abs;eq_ex_hprop_iff;eq_ex_hprop;Nat.to_hex_uint
./Fil.v;Shuffle;;;44;27;apply;H'6;-1;;;;;;;;;;
./Fil.v;Shuffle;;;44;28;apply;H'6;-1;;;;;;;;;;
./Fil.v;Shuffle;;;48;45;apply;h;-1;PeanoNat.Nat.lor_lnot_diag;Hexadecimal.norm;CMorphisms.flip_respectful;PeanoNat.Nat.le_add_le_sub_l;PeanoNat.Nat.log2_up;PeanoNat.Nat.Private_NDivProp.Private_NZDiv.mul_succ_div_gt;PeanoNat.Nat.land_ldiff;CRelationClasses.PER;list_ind;PeanoNat.Nat.lxor_eq_0_iff
./Fil.v;Shuffle;;;48;46;apply;h;-1;Hexadecimal.norm;Hexadecimal.opp;Hurkens.NoRetractFromTypeToProp.paradox;Hurkens.NoRetractToImpredicativeUniverse.paradox;Hexadecimal.hexadecimal;Hexadecimal.Neg;Hexadecimal.Pos;Hurkens.TypeNeqSmallType.paradox;Hexadecimal.uint;Hexadecimal.D0
./Fil.v;Shuffle;;;51;24;apply;Lub_definition;-1;CMorphisms.eq_subrelation;Classical_Pred_Type.not_ex_all_not;Plus.plus_le_reg_l_stt;Byte.xd7;fst;RelationClasses.Equivalence_PER;RelationClasses.predicate_equivalence;PeanoNat.Nat.Private_NZPow.pow_lt_mono_l;Compare_dec.dec_lt;CMorphisms.flip_proper_obligation_1
./Fil.v;Shuffle;;;51;25;apply;Lub_definition;-1;Lub_rect;Le.le_elim_rel_stt;Lower_Bound_ind;Lt.nat_total_order_stt;Lt.S_pred_pos_stt;left;le;le_0_n;max_l;Wf_nat.lt_wf_double_rec
./Fil.v;Shuffle;;;51;26;apply;Lub_definition;-1;Lub_rect;Lower_Bound_ind;PeanoNat.Nat.log2_up_succ_pow2;PeanoNat.Nat.log2_up_nonneg;PeanoNat.Nat.max_lub_l;PeanoNat.Nat.log2_up_nonpos;PeanoNat.Nat.Lcm0.lcm_unique_alt;Wf_nat.lt_wf_double_rec;PeanoNat.Nat.lt_succ_l;PeanoNat.Nat.lt_succ_diag_r
./Fil.v;Shuffle;;;51;27;apply;Lub_definition;-1;Lub_rect;Lower_Bound_ind;PeanoNat.Nat.max_lub_l;Wf_nat.lt_wf_double_rec;PeanoNat.Nat.lt_sub_lt_add_r;PeanoNat.Nat.lnot_sub_low;PeanoNat.Nat.le_add_le_sub_l;PeanoNat.Nat.lt_add_lt_sub_r;PeanoNat.Nat.Private_NDivProp.div_le_lower_bound;PeanoNat.Nat.Private_NDivProp.Private_NZDiv.div_lt_upper_bound
./Fil.v;Shuffle;;;51;28;apply;Lub_definition;-1;Lub_rect;PeanoNat.Nat.max_lub_l;Lower_Bound_ind;PeanoNat.Nat.lt_sub_lt_add_r;PeanoNat.Nat.lnot_sub_low;Wf_nat.lt_wf_double_rec;PeanoNat.Nat.le_add_le_sub_l;PeanoNat.Nat.lt_add_lt_sub_r;PeanoNat.Nat.Private_NDivProp.Private_NZDiv.div_lt_upper_bound;
./Fil.v;Shuffle;;;51;29;apply;Lub_definition;-1;Lower_Bound_ind;PeanoNat.Nat.lt_sub_lt_add_r;PeanoNat.Nat.Private_NDivProp.Private_NZDiv.div_lt_upper_bound;;;;;;;
./Fil.v;Shuffle;;;51;30;apply;Lub_definition;-1;;;;;;;;;;
./Fil.v;Shuffle;;;51;31;apply;Lub_definition;-1;;;;;;;;;;
./Fil.v;Shuffle;;;51;32;apply;Lub_definition;-1;;;;;;;;;;
./Fil.v;Shuffle;;;51;33;apply;Lub_definition;-1;;;;;;;;;;
./Fil.v;Shuffle;;;51;34;apply;Lub_definition;-1;;;;;;;;;;
./Fil.v;Shuffle;;;51;35;apply;Lub_definition;-1;;;;;;;;;;
./Fil.v;Shuffle;;;51;36;apply;Lub_definition;-1;;;;;;;;;;
./Fil.v;Shuffle;;;51;37;apply;Lub_definition;-1;;;;;;;;;;
./Fil.v;Shuffle;;;51;38;apply;Lub_definition;-1;;;;;;;;;;
./Fil.v;Shuffle;;;54;10;apply;Upper_Bound_definition;226;PeanoNat.Nat.shiftr_eq_0;Relation_Operators.clos_refl_sind;Arith_prebase.lt_pred_stt;Byte.x09;Decimal.uint_ind;PeanoNat.Nat.Private_NDivProp.Private_NZDiv.mul_mod;PeanoNat.Nat.divide_lcm_iff;PeanoNat.Nat.log2_lt_lin;CRelationClasses.iffT;PeanoNat.Nat.Private_NDivProp.Private_NZDiv.mul_mod_distr_l
./Fil.v;Shuffle;;;54;11;apply;Upper_Bound_definition;2;Union_introl;Union_associative;Upper_Bound_definition;Union_commutative;Union_increases_l;Union;Union_sind;ssrunder.Under_rel.Under_rel_from_rel;Nat.of_uint;eq_ex2_uncurried
./Fil.v;Shuffle;;;54;12;apply;Upper_Bound_definition;0;Upper_Bound_definition;EqdepFacts.UIP_refl_on__Streicher_K_on;EqdepFacts.UIP_shift;PeanoNat.Nat.sqrt_up_eqn;PeanoNat.Nat.sqrt_up_pos;PeanoNat.Nat.log2_up_1;PeanoNat.Nat.log2_up_unique;PeanoNat.Nat.sqrt_up_succ_square;PeanoNat.Nat.log2_up_eqn0;PeanoNat.Nat.log2_up_same
./Fil.v;Shuffle;;;54;13;apply;Upper_Bound_definition;0;Upper_Bound_definition;PeanoNat.Nat.sqrt_up_pos;PeanoNat.Nat.sqrt_sqrt_up_spec;;;;;;;
./Fil.v;Shuffle;;;54;14;apply;Upper_Bound_definition;0;Upper_Bound_definition;PeanoNat.Nat.sqrt_sqrt_up_spec;;;;;;;;
./Fil.v;Shuffle;;;54;15;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
./Fil.v;Shuffle;;;54;16;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
./Fil.v;Shuffle;;;54;17;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
./Fil.v;Shuffle;;;54;18;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
./Fil.v;Shuffle;;;54;19;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
./Fil.v;Shuffle;;;54;20;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
./Fil.v;Shuffle;;;54;21;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
./Fil.v;Shuffle;;;54;22;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
./Fil.v;Shuffle;;;54;23;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
./Fil.v;Shuffle;;;54;24;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
./Fil.v;Shuffle;;;54;25;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
./Fil.v;Shuffle;;;54;26;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
./Fil.v;Shuffle;;;54;27;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
./Fil.v;Shuffle;;;54;28;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
./Fil.v;Shuffle;;;54;29;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
./Fil.v;Shuffle;;;54;30;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
./Fil.v;Shuffle;;;54;31;apply;Upper_Bound_definition;0;Upper_Bound_definition;;;;;;;;;
