File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./IZF_nat.v;Shuffle;;;113;20;apply;Hn;-1;inhabited;sigT_prod_sigT;ex2_ind;Lt;Nat.ldiff;Decimal.uint_sind;eq_id_comm_r;eq_sigT_hprop;well_founded_induction_type_2;eq_existT2_l
./IZF_nat.v;Shuffle;;;113;21;apply;Hn;-1;Hexadecimal.D1;Hexadecimal.internal_uint_dec_bl0;Hexadecimal.D8;Hexadecimal.revapp;Hexadecimal.app;Hexadecimal.Dd;Hexadecimal.Dc;Hexadecimal.De;Hexadecimal.Neg;Hexadecimal.Little.succ_double
./IZF_nat.v;Shuffle;;;113;22;apply;Hn;-1;Hexadecimal.Neg;Hexadecimal.nb_digits;Hexadecimal.norm;Hexadecimal.internal_uint_dec_bl0;Hexadecimal.internal_hexadecimal_dec_lb;Hexadecimal.uint_rect;Hexadecimal.uint;Hexadecimal.uint_beq;Hexadecimal.signed_int_beq;Nat.to_hex_int
./IZF_nat.v;Shuffle;;;115;7;apply;pred_O;23;Hexadecimal.signed_int;Hexadecimal.D7;Byte.x12;Byte.xde;Byte.byte_ind;CompSpecT;sigT_ind;sigT2_rec;Byte.of_bits;Byte.xae
./IZF_nat.v;Shuffle;;;115;8;apply;pred_O;1;projT3_eq;pred_O;projT1_eq;proj2_sig;pred_Sn;prod_rect;pred_SSn;proj3_sig_eq;projT2_eq;proj2
./IZF_nat.v;Shuffle;;;115;9;apply;pred_O;1;projT3_eq;pred_O;projT1_eq;proj2_sig;pred_Sn;prod_rect;pred_SSn;proj3_sig_eq;projT2_eq;proj2
./IZF_nat.v;Shuffle;;;115;10;apply;pred_O;0;pred_O;pred_Sn;pred_SSn;pred;projT3_eq;projT1_eq;projT2_eq;proj3_sig_eq;prod_rect;projT1_of_sigT2_eq
./IZF_nat.v;Shuffle;;;115;11;apply;pred_O;1;pred;pred_O;pred_Sn;pred_SSn;prod_rect;;;;;
./IZF_nat.v;Shuffle;;;115;12;apply;pred_O;0;pred_O;pred_Sn;pred_SSn;;;;;;;
./IZF_nat.v;Shuffle;;;115;13;apply;pred_O;0;pred_O;;;;;;;;;
./IZF_nat.v;Shuffle;;;118;7;apply;H;84;eq_sig2_rec_uncurried;ex2_rec;Byte.x03;eq_sig2_hprop_iff;CompGtT;Byte.x5c;ex2_rect;None;Byte.xd3;exG_intro
./IZF_nat.v;Shuffle;;;118;8;apply;H;0;H;Hexadecimal.D7;Hexadecimal.Neg;Hexadecimal.De;Hexadecimal.uint_ind;Hexadecimal.rev;Hexadecimal.uint_rec;Hexadecimal.Pos;Hexadecimal.nzhead;Hexadecimal.internal_signed_int_dec_lb0
./IZF_nat.v;Shuffle;;;118;16;apply;pred_SSn;-1;ex2_ind;prod_ind;ex_intro2;eq_trans;nat_sind;option_rect;Logic.and;eq_sigT2_rec;prod_of_sigT;Datatypes.sum
./IZF_nat.v;Shuffle;;;118;17;apply;pred_SSn;-1;prod_ind;prod_of_sigT;prod;plus_O_n;prod_uncurry_subdef;pred_O;pred;pair_equal_spec;proj2_sig_eq;proj2_sig
./IZF_nat.v;Shuffle;;;118;18;apply;pred_SSn;-1;prod_ind;prod_of_sigT;prod;prod_uncurry_subdef;pred_O;pred;proj2_sig_eq;proj2_sig;proj1_sig_eq;prod_curry_subdef
./IZF_nat.v;Shuffle;;;118;19;apply;pred_SSn;-1;pred_O;pred;pred_SO;projT2_eq;proj2_sig_eq;proj1_sig_eq;prod_rec;prod_rect;pair_equal_spec;proj1_sig_of_sig2_eq
./IZF_nat.v;Shuffle;;;118;20;apply;pred_SSn;-1;pred;pred_O;pred_SO;prod_rec;prod_rect;prod_curry_subdef;prod_uncurry_subdef;;;
./IZF_nat.v;Shuffle;;;118;21;apply;pred_SSn;-1;pred_O;pred_SO;;;;;;;;
./IZF_nat.v;Shuffle;;;118;22;apply;pred_SSn;-1;pred_SO;;;;;;;;;
./IZF_nat.v;Shuffle;;;118;23;apply;pred_SSn;-1;;;;;;;;;;
./IZF_nat.v;Shuffle;;;118;24;apply;pred_SSn;-1;;;;;;;;;;
./IZF_nat.v;Shuffle;;;158;7;apply;(pred_S;-1;BoolSpec_sind;sigT_of_sig;ex2_ind;eq_exist_curried;eq_ex_intro_l;Hexadecimal.nb_digits;Nat.div2;Byte.x52;CompareSpec;Byte.xb0
./IZF_nat.v;Shuffle;;;158;8;apply;(pred_S;-1;;;;;;;;;;
./IZF_nat.v;Shuffle;;;158;9;apply;(pred_S;-1;;;;;;;;;;
./IZF_nat.v;Shuffle;;;158;10;apply;(pred_S;-1;;;;;;;;;;
./IZF_nat.v;Shuffle;;;158;11;apply;(pred_S;-1;;;;;;;;;;
./IZF_nat.v;Shuffle;;;158;12;apply;(pred_S;-1;;;;;;;;;;
./IZF_nat.v;Shuffle;;;158;13;apply;(pred_S;-1;;;;;;;;;;
./IZF_nat.v;Shuffle;;;158;14;apply;(pred_S;-1;;;;;;;;;;
./IZF_nat.v;Shuffle;;;159;7;apply;(pred_S;-1;Byte.xf3;Empty_set_sind;Byte.xd8;sum_ind;Byte.x87;eq_none_some;well_founded_ind;comparison;eq_some_some;Fix
./IZF_nat.v;Shuffle;;;159;8;apply;(pred_S;-1;;;;;;;;;;
./IZF_nat.v;Shuffle;;;159;9;apply;(pred_S;-1;;;;;;;;;;
./IZF_nat.v;Shuffle;;;159;10;apply;(pred_S;-1;;;;;;;;;;
./IZF_nat.v;Shuffle;;;159;11;apply;(pred_S;-1;;;;;;;;;;
./IZF_nat.v;Shuffle;;;159;12;apply;(pred_S;-1;;;;;;;;;;
./IZF_nat.v;Shuffle;;;159;13;apply;(pred_S;-1;;;;;;;;;;
